GEOID10_TRACT,Total population,Is low income (imputed and adjusted)?,"Definition N community, including adjacency index tracts"
01001020100,1993.0,False,False
01001020200,1959.0,True,False
01001020300,3507.0,False,False
01001020400,3878.0,False,False
01001020500,10596.0,False,False
01001020600,3668.0,True,False
01001020700,3586.0,True,False
01001020801,3196.0,False,False
01001020802,11142.0,False,False
01001020900,6143.0,False,False
01001021000,2527.0,True,False
01001021100,3185.0,True,True
01003010100,3433.0,True,True
01003010200,3158.0,True,True
01003010300,8284.0,False,False
01003010400,5181.0,False,False
01003010500,5463.0,False,False
01003010600,3730.0,True,True
01003010701,8756.0,False,False
01003010703,19962.0,False,False
01003010704,6456.0,True,False
01003010705,9344.0,False,False
01003010800,6856.0,False,False
01003010903,6235.0,False,False
01003010904,6605.0,False,False
01003010905,8316.0,False,False
01003010906,5188.0,True,False
01003011000,4644.0,True,True
01003011101,11802.0,False,False
01003011102,4903.0,False,False
01003011201,5091.0,False,False
01003011202,5997.0,False,True
01003011300,5269.0,False,False
01003011401,11757.0,False,False
01003011403,11169.0,False,False
01003011405,4624.0,False,False
01003011406,3140.0,False,False
01003011407,5005.0,False,False
01003011408,558.0,False,False
01003011501,6931.0,False,False
01003011502,12957.0,True,True
01003011601,5873.0,False,False
01003011602,6143.0,False,False
01003990000,0.0,False,False
01005950100,3091.0,True,True
01005950200,3949.0,True,True
01005950300,1598.0,True,True
01005950400,3817.0,True,True
01005950500,3285.0,True,True
01005950600,1960.0,True,True
01005950700,1521.0,True,True
01005950800,2259.0,True,True
01005950900,3881.0,True,True
01007010001,2242.0,True,True
01007010002,5694.0,True,True
01007010003,4922.0,False,False
01007010004,9635.0,True,True
01009050101,7594.0,False,False
01009050102,7108.0,True,True
01009050200,4249.0,True,True
01009050300,4972.0,True,True
01009050400,3868.0,False,True
01009050500,7840.0,True,True
01009050601,4268.0,False,False
01009050602,9148.0,False,False
01009050700,8634.0,True,True
01011952100,1579.0,True,True
01011952200,5814.0,True,True
01011952500,2855.0,True,True
01013952700,1930.0,True,True
01013952800,1278.0,False,True
01013952900,2336.0,True,True
01013953000,1565.0,True,True
01013953100,2939.0,True,True
01013953200,3610.0,True,True
01013953300,1861.0,False,True
01013953400,2765.0,True,True
01013953500,1544.0,True,True
01015000200,2324.0,True,True
01015000300,2377.0,True,True
01015000400,3143.0,True,True
01015000500,1031.0,True,True
01015000600,1893.0,True,True
01015000700,2918.0,True,True
01015000800,981.0,True,True
01015000900,3617.0,True,True
01015001000,5992.0,False,False
01015001100,7389.0,False,False
01015001201,2830.0,True,True
01015001202,4260.0,True,True
01015001300,2009.0,True,True
01015001400,3105.0,True,True
01015001500,5076.0,True,True
01015001600,3621.0,True,True
01015001700,6858.0,True,True
01015001800,7051.0,False,True
01015002000,7331.0,False,False
01015002101,3327.0,False,True
01015002102,3350.0,False,False
01015002103,6784.0,True,True
01015002200,3391.0,True,True
01015002300,3454.0,True,True
01015002400,4636.0,False,False
01015002501,6719.0,False,False
01015002502,4557.0,False,False
01015002600,4594.0,False,False
01015981901,0.0,False,False
01015981902,0.0,False,False
01015981903,0.0,False,False
01017953800,3767.0,True,True
01017953900,3128.0,True,True
01017954000,5946.0,True,True
01017954200,3445.0,True,True
01017954300,5311.0,False,False
01017954400,796.0,True,True
01017954500,3883.0,True,True
01017954600,3163.0,True,True
01017954700,4221.0,False,False
01019955701,3236.0,True,True
01019955702,3549.0,True,True
01019955800,5571.0,True,True
01019955900,3912.0,True,True
01019956000,4168.0,False,False
01019956100,5467.0,False,False
01021060101,4623.0,True,True
01021060102,6884.0,True,True
01021060200,2756.0,False,False
01021060300,3622.0,True,True
01021060401,5157.0,True,True
01021060402,9362.0,True,True
01021060500,3302.0,True,True
01021060600,3545.0,True,False
